
[2025-11-14T11:11:23.124Z] [INFO] Server started | {"port":"5000","url":"http://localhost:5000/"}
[2025-11-14T11:11:23.161Z] [SQL] Executed (default): SELECT 1+1 AS result | {"durationMs":2}
[2025-11-14T11:11:23.161Z] [INFO] Sequelize connection established
[2025-11-14T11:11:23.163Z] [SQL] Executed (default): SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = 'users' AND TABLE_SCHEMA = 'gps_tracking' | {"durationMs":3}
[2025-11-14T11:11:23.167Z] [SQL] Executed (default): SELECT CONSTRAINT_NAME as constraint_name,CONSTRAINT_NAME as constraintName,CONSTRAINT_SCHEMA as constraintSchema,CONSTRAINT_SCHEMA as constraintCatalog,TABLE_NAME as tableName,TABLE_SCHEMA as tableSchema,TABLE_SCHEMA as tableCatalog,COLUMN_NAME as columnName,REFERENCED_TABLE_SCHEMA as referencedTableSchema,REFERENCED_TABLE_SCHEMA as referencedTableCatalog,REFERENCED_TABLE_NAME as referencedTableName,REFERENCED_COLUMN_NAME as referencedColumnName FROM INFORMATION_SCHEMA.KEY_COLUMN_USAGE where TABLE_NAME = 'users' AND CONSTRAINT_NAME!='PRIMARY' AND CONSTRAINT_SCHEMA='gps_tracking' AND REFERENCED_TABLE_NAME IS NOT NULL; | {"durationMs":2}
[2025-11-14T11:11:23.168Z] [SQL] Executed (default): SHOW FULL COLUMNS FROM `users`; | {"durationMs":4}
[2025-11-14T11:11:23.214Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `username` `username` VARCHAR(255) NOT NULL UNIQUE; | {"durationMs":45}
[2025-11-14T11:11:23.249Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `email` `email` VARCHAR(255) NOT NULL UNIQUE; | {"durationMs":34}
[2025-11-14T11:11:23.266Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `password` `password` VARCHAR(255) NOT NULL; | {"durationMs":16}
[2025-11-14T11:11:23.282Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `is_verified` `is_verified` TINYINT(1) DEFAULT false; | {"durationMs":16}
[2025-11-14T11:11:23.298Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `verification_code` `verification_code` VARCHAR(255); | {"durationMs":15}
[2025-11-14T11:11:23.314Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `verification_expires` `verification_expires` DATETIME; | {"durationMs":15}
[2025-11-14T11:11:23.333Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `created_at` `created_at` DATETIME; | {"durationMs":19}
[2025-11-14T11:11:23.351Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `pending_email` `pending_email` VARCHAR(255); | {"durationMs":18}
[2025-11-14T11:11:23.367Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `provider` `provider` VARCHAR(255) DEFAULT 'local'; | {"durationMs":16}
[2025-11-14T11:11:23.383Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `provider_id` `provider_id` VARCHAR(255); | {"durationMs":16}
[2025-11-14T11:11:23.399Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `provider_data` `provider_data` TEXT; | {"durationMs":15}
[2025-11-14T11:11:23.414Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `deletion_code` `deletion_code` VARCHAR(255); | {"durationMs":15}
[2025-11-14T11:11:23.431Z] [SQL] Executed (default): ALTER TABLE `users` CHANGE `deletion_code_expires` `deletion_code_expires` DATETIME; | {"durationMs":16}
[2025-11-14T11:11:23.435Z] [SQL] Executed (default): SHOW INDEX FROM `users` | {"durationMs":4}
[2025-11-14T11:11:23.437Z] [SQL] Executed (default): SELECT TABLE_NAME FROM INFORMATION_SCHEMA.TABLES WHERE TABLE_TYPE = 'BASE TABLE' AND TABLE_NAME = 'devices' AND TABLE_SCHEMA = 'gps_tracking' | {"durationMs":1}
[2025-11-14T11:11:23.438Z] [SQL] Executed (default): SELECT CONSTRAINT_NAME as constraint_name,CONSTRAINT_NAME as constraintName,CONSTRAINT_SCHEMA as constraintSchema,CONSTRAINT_SCHEMA as constraintCatalog,TABLE_NAME as tableName,TABLE_SCHEMA as tableSchema,TABLE_SCHEMA as tableCatalog,COLUMN_NAME as columnName,REFERENCED_TABLE_SCHEMA as referencedTableSchema,REFERENCED_TABLE_SCHEMA as referencedTableCatalog,REFERENCED_TABLE_NAME as referencedTableName,REFERENCED_COLUMN_NAME as referencedColumnName FROM INFORMATION_SCHEMA.KEY_COLUMN_USAGE where TABLE_NAME = 'devices' AND CONSTRAINT_NAME!='PRIMARY' AND CONSTRAINT_SCHEMA='gps_tracking' AND REFERENCED_TABLE_NAME IS NOT NULL; | {"durationMs":1}
[2025-11-14T11:11:23.439Z] [SQL] Executed (default): SHOW FULL COLUMNS FROM `devices`; | {"durationMs":2}
[2025-11-14T11:11:23.441Z] [SQL] Executed (default): SELECT CONSTRAINT_CATALOG AS constraintCatalog, CONSTRAINT_NAME AS constraintName, CONSTRAINT_SCHEMA AS constraintSchema, CONSTRAINT_TYPE AS constraintType, TABLE_NAME AS tableName, TABLE_SCHEMA AS tableSchema from INFORMATION_SCHEMA.TABLE_CONSTRAINTS WHERE table_name='devices' AND constraint_name = 'devices_ibfk_1' AND TABLE_SCHEMA = 'gps_tracking'; | {"durationMs":2}
